연관키워드,월간검색수 ,,월평균클릭수 ,,월평균클릭률 ,,경쟁정도,월평균노출 광고수
,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),,
방광염,"3,070","19,600",1.2,51.6,0.05%,0.29%,높음,10
단백뇨,"2,650","19,200",0.7,27.2,0.03%,0.15%,높음,7
강아지신부전,160,"1,190",0,1.3,-,0.12%,높음,10
요로결석,"4,530","27,100",6.5,100.6,0.16%,0.41%,높음,10
고양이신장병,40,240,0,0.3,-,0.19%,높음,3
신우신염,"5,100","29,300",1,46.3,0.03%,0.17%,높음,10
신우신염증상,"1,070","17,200",0.3,39.3,0.03%,0.25%,높음,7
내과,"22,800","327,300",9.7,186.6,0.05%,0.07%,높음,10
방광염증상,"3,140","49,800",3.6,242.7,0.13%,0.53%,높음,10
배뇨곤란,250,380,0,0.8,-,0.29%,높음,10
야간뇨치료,30,60,0,1.2,-,1.95%,높음,10
갱년기증상,"3,070","29,600",1.9,138.8,0.07%,0.49%,높음,10
오줌이자주마려워요,50,310,0,1.3,-,1.21%,높음,3
야간빈뇨,140,720,0.2,3,0.15%,0.42%,높음,10
혈뇨원인,190,770,0.3,3.2,0.17%,0.45%,높음,10
소변색깔,510,"13,200",0.7,14.8,0.15%,0.16%,중간,4
소변검사,330,"2,160",0.2,5.4,0.06%,0.26%,높음,10
방광염원인,"1,230","16,500",1.4,219.5,0.13%,1.44%,높음,10
요로감염,"1,480","9,650",0.7,17.8,0.05%,0.2%,높음,10
요도염증상,210,"3,410",0.1,10.2,0.06%,0.32%,높음,10
방광통증,110,"1,370",0.5,11.9,0.46%,0.93%,높음,10
소변피,240,"4,130",2,60.2,0.9%,1.57%,높음,7
방광내시경,190,"1,260",0.8,7.2,0.44%,0.58%,높음,10
소변통증,150,"2,420",0.1,19.8,0.07%,0.9%,높음,10
요도염,"1,110","2,950",0.1,2.9,0.01%,0.11%,높음,10
신경인성방광,150,590,0,3.5,-,0.66%,높음,10
소변이잘안나와요,20,60,0,0.3,-,0.4%,높음,10
소변에서피,120,"2,800",0.5,45.6,0.43%,1.79%,높음,10
빈뇨원인,170,"1,620",0.1,7,0.07%,0.46%,높음,10
방광에좋은음식,170,"2,240",0,7,-,0.48%,높음,3
에스트로겐,"1,520","11,100",1.2,50,0.09%,0.52%,높음,10
방광염병원,420,"6,110",0.3,27.4,0.08%,0.48%,높음,10
오줌소태증상,160,"2,840",0,50,-,1.87%,높음,10
여성방광염병원,90,670,0,7.4,-,1.21%,높음,10
혈뇨,"1,060","7,470",1.2,19,0.13%,0.28%,높음,10
여성방광염,90,510,0.1,3.6,0.13%,0.71%,높음,10
오줌소태,610,"5,150",0,34.4,-,0.72%,높음,10
소변자주마려움,730,"11,200",3.2,101.2,0.46%,0.94%,높음,10
방광보톡스,70,440,0,1.5,-,0.23%,높음,10
소변이자주마려워요,30,150,0,2,-,1.34%,높음,10
방광염약,550,"4,610",0.8,19,0.15%,0.45%,높음,10
배뇨장애,200,850,0.1,6,0.06%,0.75%,높음,10
여성의원,270,"4,070",2.3,13.8,0.94%,0.37%,높음,10
당뇨,"3,460","14,600",1.7,31.4,0.06%,0.23%,높음,10
신장결석,"1,160","5,390",1,14,0.09%,0.28%,높음,10
빈뇨치료,100,520,0.3,3.4,0.32%,0.66%,높음,10
여자방광염병원,140,"2,370",0.2,8.2,0.15%,0.39%,높음,10
골다공증,"3,090","13,100",1.1,18.8,0.04%,0.16%,높음,10
비뇨기과여자,160,"2,650",0.4,22,0.28%,0.89%,높음,10
성병,700,"6,140",0.2,4,0.04%,0.08%,높음,10
매독,"2,220","12,400",0.1,7,0.01%,0.07%,높음,10
헤르페스,"4,780","47,000",1.2,53.5,0.03%,0.13%,높음,10
급성방광염,230,"1,750",0,1.8,-,0.11%,높음,10
방광염치료,360,"2,350",0.3,10.4,0.09%,0.49%,높음,10
여자의사비뇨기과,< 10,70,0,1.6,-,2.09%,높음,10
가다실9가가격,970,"8,790",0.8,23.8,0.09%,0.3%,높음,10
여성병원,460,"5,240",4.4,19.4,1.05%,0.41%,높음,10
여자비뇨기과,180,"2,510",1.1,29.4,0.65%,1.22%,높음,10
당뇨에좋은차,620,"4,700",6.6,208.8,1.12%,4.72%,높음,10
갱년기치료,120,440,0.5,1.4,0.42%,0.33%,높음,10
영양수액,360,"1,530",0.7,2.3,0.22%,0.17%,높음,10
만성방광염치료,80,340,0,3.9,-,1.35%,높음,10
여자방광염증상,410,"3,580",0.1,26.2,0.03%,0.8%,높음,10
노인요실금,110,"1,120",0.9,22.6,0.85%,2.11%,높음,10
당뇨에좋은약재,< 10,50,0,2.3,-,4.25%,높음,7
전립선,"1,440","11,300",2.3,61.6,0.18%,0.6%,높음,10
당뇨도시락,380,"1,110",16.4,102.3,4.37%,9.75%,높음,8
갱년기열감,480,"3,500",1.7,59.2,0.37%,1.69%,높음,10
요로결석수술,590,"2,640",1.2,23.8,0.27%,1%,높음,10
신장결석치료,160,"1,500",0.4,9.2,0.27%,0.67%,높음,10
신장결석수술,150,570,0.2,2.2,0.16%,0.41%,높음,10
신장염,390,"1,560",0.3,1,0.09%,0.07%,높음,3
허리통증,"2,030","16,400",1.8,70.2,0.1%,0.45%,높음,10
이아루릴,140,230,0,0,-,-,중간,2
신장내과,920,"6,310",4.7,21.4,0.57%,0.37%,높음,10
요실금,"1,690","7,840",1.7,35,0.11%,0.48%,높음,10
항문거근증후군,270,"2,220",0.6,13,0.25%,0.64%,높음,10
강아지신장사료,80,670,1.9,10.5,2.36%,1.78%,높음,9
투석요양병원,100,330,1.1,7.6,1.21%,2.37%,높음,10
요실금수술,"1,230","5,860",6.9,107.6,0.67%,1.93%,높음,10
당뇨병,"1,650","6,600",1.1,22.4,0.07%,0.37%,높음,10
공주비뇨기과,20,170,0.1,0.8,0.52%,0.45%,높음,10
강아지건강검진,250,"1,130",0.6,6.4,0.26%,0.62%,높음,10
경기광주신장내과,< 10,20,0,0,-,-,중간,1
신장투석요양병원,30,270,0.8,11,2.59%,4.14%,높음,10
슬개골탈구,280,"1,320",0,4.2,-,0.35%,높음,10
소변검사스틱,280,"2,050",2.1,39,0.84%,2.28%,중간,8
1형당뇨,"1,330","7,040",1.5,30.4,0.12%,0.43%,높음,10
강아지신부전사료,20,270,0.9,8.3,3.25%,3.35%,높음,8
강아지췌장염,400,"2,420",0.2,4.3,0.06%,0.19%,높음,10
여성비뇨기과,360,"5,340",5.1,142.4,1.56%,2.83%,높음,10
한대석내과,20,90,0,4,-,10.53%,낮음,0
투석병원,60,250,2.7,3.8,4.16%,1.48%,높음,10
당뇨정상수치,"1,890","28,300",14.4,"1,083.2",0.81%,4.07%,높음,10
방광염한의원,90,100,0.3,1.4,0.28%,1.22%,높음,10
당뇨초기증상,"4,870","51,700",16.6,896.5,0.37%,1.83%,높음,10
강아지뇌수막염,110,940,0,3.5,-,0.4%,높음,10
요실금치료,290,"3,510",1,61.8,0.36%,1.8%,높음,10
강아지슬개골탈구,370,"2,290",0.4,9.2,0.13%,0.43%,높음,10
혈액투석비용,110,950,0.1,20,0.09%,2.08%,높음,10
간질성방광염,340,"1,680",0.4,10.2,0.13%,0.66%,높음,10
투석가능한요양병원,60,300,0.2,9.5,0.59%,5.26%,높음,10
방광염증세,10,160,0,3.8,-,2.41%,높음,10
신장화식,10,50,0.3,1.5,2.5%,2.84%,높음,8
