연관키워드,월간검색수 ,,월평균클릭수 ,,월평균클릭률 ,,경쟁정도,월평균노출 광고수
,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),,
건강검진,"15,300","49,700",19.8,149.4,0.14%,0.33%,높음,10
혈액검사,670,"4,010",0.2,15.8,0.04%,0.42%,높음,10
동물병원엑스레이,< 10,20,0,0,-,-,높음,3
반려동물초음파,< 10,< 10,0,0,-,-,낮음,0
수의영상진단,< 10,< 10,0,0,-,-,낮음,0
내과,"22,800","327,300",9.7,186.6,0.05%,0.07%,높음,10
건강검진센터,"2,660","12,400",10.5,73.4,0.43%,0.68%,높음,10
종합건강검진,"2,410","11,100",8.9,67.4,0.41%,0.67%,높음,10
판교메디피움,590,"1,980",27.3,92.4,9.58%,7.56%,낮음,1
MRI,"2,650","14,000",2.9,55.6,0.12%,0.43%,높음,10
대장내시경,"3,820","26,900",3.4,84.8,0.1%,0.35%,높음,10
판교건강검진,110,290,1.5,9.6,1.55%,3.31%,높음,10
종합검진,470,"1,450",2.4,6.6,0.55%,0.5%,높음,10
건강검진예약,"1,470","3,400",2.1,33,0.16%,1.06%,높음,10
특수건강검진,"1,510","2,660",0.7,4,0.05%,0.16%,높음,10
건강검진병원,820,"3,410",2.4,11.8,0.31%,0.38%,높음,9
종합검진센터,170,710,1.1,8.8,0.71%,1.36%,높음,10
직장인건강검진,"1,890","6,470",0.7,12.4,0.05%,0.23%,높음,10
국민건강검진,"2,420","9,640",1.1,23.3,0.05%,0.27%,높음,10
종합건강검진비용,780,"4,250",1.4,28.8,0.19%,0.76%,높음,10
검진센터,290,650,2.6,1.8,1.03%,0.31%,높음,10
국가건강검진,"7,950","29,400",5.1,65.3,0.07%,0.25%,높음,10
위내시경,"2,060","11,900",0.8,21.6,0.05%,0.21%,높음,10
건강검진비용,660,"2,130",0.4,8.2,0.07%,0.42%,높음,10
채용건강검진,"1,050","4,090",0.1,7.4,0.01%,0.2%,높음,10
공단검진,530,890,0.5,1,0.1%,0.13%,높음,10
남양주건강검진,40,60,0.5,1.8,1.29%,2.82%,높음,10
일반건강검진,"1,000","4,120",0.3,11.6,0.04%,0.32%,높음,10
종합검진비용,330,"1,960",1,28.2,0.32%,1.57%,높음,10
국가건강검진병원,"1,130","4,710",1.2,14.8,0.12%,0.34%,높음,10
특수건강검진병원,360,560,1.4,3.9,0.42%,0.71%,높음,7
신장검사,440,"3,420",0.5,10.4,0.12%,0.34%,높음,10
응급실,"2,260","41,300",0.4,76.6,0.02%,0.21%,높음,10
동탄병원,220,"1,040",0.6,5.3,0.31%,0.54%,높음,10
채용건강검진병원,370,"1,850",0.4,2.6,0.12%,0.16%,높음,10
국민건강보험공단건강검진,620,810,0,2.5,-,0.46%,높음,10
종합건강검진할인,40,120,1.4,4.9,3.49%,4.24%,높음,7
복부초음파,940,"4,690",0.5,4.3,0.06%,0.1%,높음,10
특수검진,780,"1,600",1.3,3.8,0.24%,0.36%,높음,7
위대장내시경,380,"1,780",0.2,3.3,0.06%,0.21%,높음,10
폐CT,850,"4,950",0.7,27.8,0.09%,0.59%,높음,10
대장내시경병원,120,780,0.4,6.2,0.4%,0.92%,높음,10
내분비내과,"1,760","13,200",2.3,52.8,0.14%,0.44%,높음,7
독감,"2,240","8,420",0.9,8.8,0.04%,0.12%,높음,10
심혈관질환증상,330,"4,080",0.3,39.3,0.1%,1.04%,높음,10
채용검진,960,"3,080",0.4,5.8,0.05%,0.2%,높음,10
복부CT,"1,160","10,400",1.7,49.8,0.16%,0.51%,높음,10
외과,"2,940","35,800",0.5,31.6,0.02%,0.1%,높음,10
순환기내과,"1,370","9,360",2.5,45,0.2%,0.52%,높음,10
골밀도검사,"1,400","7,140",0.2,12.6,0.02%,0.2%,높음,10
소화기내과명의,110,870,0.1,13.8,0.1%,1.69%,높음,10
소아과,"3,100","128,900",1.3,76.1,0.05%,0.07%,높음,10
소화기내과,"1,960","15,400",1.9,56,0.11%,0.4%,높음,10
국민건강검진병원,120,630,0.1,1,0.13%,0.2%,높음,7
신혼부부건강검진,110,270,0,1.5,-,0.99%,높음,7
직장인건강검진병원,520,"1,430",0.9,4.6,0.19%,0.37%,높음,10
호흡기내과,"1,690","14,100",7.5,180.2,0.47%,1.34%,높음,10
설사,"1,390","9,670",0.1,11.8,0.01%,0.14%,높음,10
대장내시경비용,"1,530","9,790",1.2,45.6,0.09%,0.54%,높음,10
송도내과,870,"3,940",1.5,16.2,0.19%,0.52%,높음,10
영양수액,360,"1,530",0.7,2.3,0.22%,0.17%,높음,10
외국인건강검진,110,290,0.4,2.3,0.44%,0.86%,높음,10
종합건강검진센터,90,240,0.2,6,0.25%,2.77%,높음,10
종합건강검진가격,80,410,0.4,2,0.57%,0.55%,높음,10
지방간치료,920,"8,980",0.1,50,0.02%,0.6%,높음,10
응급의학과,210,"1,480",0,1.7,-,0.24%,중간,1
동탄내과,500,"2,710",2,20.4,0.44%,0.82%,높음,10
몸살,"3,020","4,940",1.1,4.3,0.04%,0.1%,높음,7
CT촬영,810,"10,600",1.4,45.5,0.17%,0.45%,높음,10
라이넥,"1,470","2,380",0.5,4,0.05%,0.24%,높음,9
만성폐쇄성폐질환,"1,500","8,970",2.4,193.4,0.17%,2.23%,높음,10
열상,"2,440","4,910",0,1.5,-,0.04%,높음,7
드레싱,990,"4,170",1.3,13.5,0.14%,0.35%,높음,8
신데렐라주사,"1,700","8,850",0.4,9.4,0.03%,0.12%,높음,10
이물,270,880,0,0.8,-,0.15%,높음,10
찢어짐,290,780,0.3,0.3,0.18%,0.07%,높음,3
화상병원,720,"8,820",3.4,65.2,0.51%,0.8%,높음,10
이비인후과,"31,100","380,700",14.1,447.7,0.05%,0.14%,높음,10
직장건강검진,550,"2,020",0.6,4.4,0.12%,0.25%,높음,10
종합건강검진병원,130,550,0.8,5.2,0.64%,1.06%,높음,10
호흡기내과병원,20,110,0.3,0.8,1.59%,0.64%,높음,7
심장초음파검사,260,"1,960",0.1,11,0.05%,0.61%,높음,10
소변유기산검사,130,410,0,0.8,-,0.27%,높음,9
과민성대장증후군병원,140,520,0,3.2,-,0.65%,높음,10
과민성대장증후군증상,610,"3,300",0.4,13,0.08%,0.43%,높음,10
신장내과,920,"6,310",4.7,21.4,0.57%,0.37%,높음,10
국가검진,930,"2,070",0.1,2,0.02%,0.11%,높음,7
심근경색,"3,910","21,100",1.3,44.9,0.04%,0.23%,높음,10
연산동건강검진,10,50,0.2,0.5,1.34%,1.05%,높음,10
혈관조영술,400,"2,000",0.1,11.6,0.04%,0.64%,높음,7
CT비용,730,"10,500",1.2,52,0.18%,0.55%,높음,9
췌장암검사,520,"5,140",0,21.6,-,0.44%,높음,10
부산종합검진,70,100,0.5,1.8,0.75%,2.03%,높음,10
부산건강검진센터,510,"1,990",10.8,92.8,2.23%,5.29%,높음,10
서울건강검진센터,230,750,1.4,6.6,0.63%,1%,높음,10
부산국가건강검진병원,20,70,0,0.7,-,1.03%,높음,3
서울건강검진,160,280,2.1,4,1.35%,1.59%,높음,10
건강검진잘하는곳,30,120,0,2.6,-,2.31%,높음,10
예비부부건강검진,20,40,0,0,-,-,높음,7
건강검진병원추천,110,150,0,1,-,0.81%,높음,10
부산소화기내과,70,450,0.5,4.8,0.68%,1.09%,높음,10
당뇨,"3,460","14,600",1.7,31.4,0.06%,0.23%,높음,10
청소년건강검진,130,820,0,1,-,0.21%,높음,10
부모님건강검진,170,560,0.1,0.8,0.1%,0.23%,높음,10
건강검진가격,130,720,0,2.1,-,0.31%,높음,10
5대암검진,120,260,0,0.5,-,0.3%,높음,10
건강검진센터추천,80,230,0,3.5,-,1.66%,높음,10
종합검진예약,20,60,0,2,-,3.23%,높음,7
건강검진항목,370,"2,060",0.1,2,0.04%,0.32%,높음,10
영유아건강검진,"1,960","5,030",0.3,2.8,0.02%,0.06%,높음,10
남양주대장내시경,< 10,20,0,0.3,-,1.05%,높음,7
암검사,170,"1,310",0.1,3,0.07%,0.25%,높음,10
강남종합건강검진,10,40,0,1.6,-,5.43%,높음,7
부산건강검진추천,30,30,0,0,-,-,높음,7
부산심장초음파,20,90,0.1,1,0.6%,1.1%,높음,10
부산암검진,< 10,10,0,0.5,-,3.58%,높음,7
부산직장인건강검진,< 10,30,0.2,0.5,3.34%,2.28%,높음,10
건강검진추천병원,20,60,0.6,0,3.58%,-,높음,7
국가건강검진예약,"2,190","6,980",5.7,34,0.28%,0.54%,중간,3
종합검진병원,20,110,0,1.9,-,1.69%,높음,10
세종시갑상선,< 10,10,0,0.5,-,2.64%,낮음,0
청주유방암검사,10,60,0.2,1.5,2%,2.35%,중간,6
정밀건강검진,60,130,0,1,-,0.77%,높음,10
휴일건강검진,< 10,10,0,0,-,-,높음,3
서울대입구건강검진,30,40,0,0,-,-,높음,3
신림내과,190,710,0.3,5.6,0.19%,0.86%,중간,6
